rank,stadium,capacity,region,country,city,images,home_team,location
336,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/250px-Stadium_Hang_Jebat_015342.jpg,Melaka United,"[2.3293744, 102.2880962]"
337,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/250px-Hong_Kong_Stadium-1.jpg,South China AA,"[22.2739671, 114.1886793]"
338,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/250px-Batu_Kawan_Stadium%2CPenang.jpg,Penang FA,"[5.2625962, 100.4304555]"
339,Accra Sports Stadium,40000,Africa,Ghana,Accra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Accra Hearts of Oak SC, Great Olympics","[5.5571096, -0.2012376]"
340,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/250px-Stadium_Sarawak.JPG,Sarawak FA,"[1.5597561, 110.345397]"
341,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/250px-Aungsan_Stadium.jpg,Yangon United FC,"[16.7967129, 96.1609916]"
342,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/250px-%C5%8Cita_Stadium_2023-03.jpg,Ōita Trinita,"[33.1819875, 131.4270217]"
343,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/250px-Stadium_Pahang.jpg,Pahang FA,"[3.7985637, 103.32199]"
344,Khalifa International Stadium,40000,West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/250px-Khalifa_International_Stadium.jpg,Qatar national football team,"[25.2856329, 51.5264162]"
345,Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Gabon national football team,"[0.4086518, 9.4418849]"
346,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Pakistan national football team,"[24.8546842, 67.0207055]"
347,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/250px-J.R.D._Tata_Stadium.jpg,"Jamshedpur FC, Tata Football Academy","[22.8015194, 86.2029579]"
348,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/250px-Bao%27an_Stadium.jpg,,"[22.5445741, 114.0545429]"
349,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/250px-Kunming_07.JPG,China national football team,"[25.0363006, 102.7086139]"
350,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6581723, 121.4163876]"
351,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[31.1800568, 118.2141777]"
352,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[23.1125153, 114.4127007]"
