rank,stadium,capacity,region,country,city,images,home_team,location
182,Stade Roi Baudouin,50122,Europe,Belgium,Brussels,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stade_Roi_Baudouin.JPG/250px-Stade_Roi_Baudouin.JPG,Belgium national football team,"[50.8465573, 4.351697]"
183,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.261004, 108.9423363]"
184,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ajinomoto_Stadium_2018-13.jpg/250px-Ajinomoto_Stadium_2018-13.jpg,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo","[35.6506036, 139.5407066]"
185,Estádio do Dragão,50033,Europe,Portugal,Porto,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg/250px-Porto_Est%C3%A1dio_do_Drag%C3%A3o_2.jpg,FC Porto,"[41.1502195, -8.6103497]"
186,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Arena_Fonte_Nova_External_View.jpg/250px-Arena_Fonte_Nova_External_View.jpg,EC Bahia,"[-12.9822499, -38.4812772]"
187,Kai Tak Stadium,50000,East Asia,Hong Kong,Kowloon City,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/2024%E5%B9%B410%E6%9C%88-%E5%95%9F%E5%BE%B7%E9%AB%94%E8%82%B2%E5%9C%92.jpg/250px-2024%E5%B9%B410%E6%9C%88-%E5%95%9F%E5%BE%B7%E9%AB%94%E8%82%B2%E5%9C%92.jpg,Hong Kong national football team,"[22.3301595, 114.1899368]"
188,Stade Tata Raphaël,50000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"AS Vita Club, DC Motema Pembe","[-4.3196982, 15.3424196]"
189,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Stade_olympique_de_Sousse.jpg/250px-Stade_olympique_de_Sousse.jpg,Étoile du Sahel,"[35.8288284, 10.6405254]"
190,Rhein­Energie­STADION,50000,Europe,Germany,Cologne,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/FIFA_WM06_Stadion_Koeln.jpg/250px-FIFA_WM06_Stadion_Koeln.jpg,1. FC Köln,"[50.938361, 6.959974]"
191,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[45.7593633, 126.6276177]"
192,Greenfield International Stadium,50000,South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/250px-Greenfield_International_Stadium_Kerala.jpg,,"[8.4882267, 76.947551]"
193,EMS Stadium,50000,South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/250px-Kozhikode_EMS_Stadium.jpg,"India national football team, Gokulam Kerala FC","[11.2450558, 75.7754716]"
194,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/250px-K_D_Singh_Babu_Stadium.jpg,,"[26.8381, 80.9346001]"
195,Eden Park,50000,Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/250px-Auckland_EdenPark.jpg,"Auckland Blues, New Zealand Warriors","[-36.852095, 174.7631803]"
196,Estádio 11 de Novembro,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/250px-Football_stadium_%286178263468%29.jpg,"Angola national football team, Primeiro de Agosto, Petro Luanda","[-8.8272699, 13.2439512]"
197,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[34.7472531, 113.619321]"
198,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[28.6472124, 116.0348483]"
199,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/250px-Frankenstadion_2.JPG,1. FC Nürnberg,"[49.453872, 11.077298]"
200,June 11 Stadium,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/250px-11_June_Stadium_BenTaher.jpg,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC","[32.896672, 13.1777923]"
201,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[43.8244074, 87.6139038]"
202,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/250px-North_Korea_v_Philippines%2C_8_October_2015_F.png,Pyongyang City Sports Club,"[39.0167979, 125.7473609]"
203,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/250px-Big_Arch_Stadium_Panorama.jpg,Sanfrecce Hiroshima,"[34.3917241, 132.4517589]"
204,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/250px-Pars_Stadium_Photos_Image_6.jpg,Fajr Sepasi Shiraz FC,"[29.6060218, 52.5378041]"
